Inventario,Expediente,Nº Serie,Estado,Artículo,Marca,Descripción Espacio,Modelo,Destino Dotación,Subsede,Pabellón,Planta,Espacio,Familia,Subfamilia,Subtipo,Proveedor,Id Patrimonial,Prestamos/Reservas,F. Fin Garantía,Fecha Baja,Verificado CAU,Propietario,Usuario,Observaciones
INV-001,EXP-2023-001,SN-000001,Activo,Ordenador,HP,Aula Informática 1,ProBook 450,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 101,Informática,Equipos,Portátiles,InfoTech SL,PAT-5001,No,2026-05-15,,Sí,Instituto 1,Profesorado,Dato de prueba 1
INV-002,EXP-2023-002,SN-000002,Inoperativo,Monitor,Dell,Aula Dibujo,UltraSharp 24,Alumnos,Sede Central,Pabellón Norte,Planta 1,Aula 205,Informática,Periféricos,Monitores,Pantallas SA,PAT-5002,No,2023-11-20,2025-10-01,Sí,Instituto 2,,Dato de prueba 2
INV-003,EXP-2023-003,SN-000003,Activo,Proyector,Epson,Salón de Actos,EB-L200F,General,Sede Central,Pabellón Principal,Planta Baja,Salón Actos,Audiovisuales,Proyección,Láser,AudioVisuales Pro,PAT-5003,Sí,2027-01-10,,Sí,Instituto 3,Mantenimiento,Dato de prueba 3
INV-004,EXP-2023-004,SN-000004,Activo,Impresora,Brother,Sala de Profesores,MFC-L8690CDW,Profesores,Sede Sur,Edificio Anexo,Planta 2,Sala Profesores,Informática,Impresión,Láser Color,OfiImprime,PAT-5004,No,2025-09-01,,Sí,Instituto 4,Claustro,Dato de prueba 4
INV-005,EXP-2023-005,SN-000005,STOCK,Tablet,Samsung,Biblioteca,Galaxy Tab A,Préstamo,Sede Sur,Edificio Anexo,Planta Baja,Biblioteca,Informática,Equipos,Tablets,InfoTech SL,PAT-5005,Sí,2022-02-15,,Sí,Instituto 5,,Dato de prueba 5
INV-006,EXP-2023-006,SN-000006,Prestamo,Portátil,Lenovo,Secretaría,ThinkPad E14,Administración,Sede Norte,Edificio Principal,Planta 1,Oficina 1,Informática,Equipos,Portátiles,Compuserv,PAT-5006,No,2026-08-20,,Sí,Instituto 6,Admin,Dato de prueba 6
INV-007,EXP-2023-007,SN-000007,Activo,Ordenador,HP,Aula 102,EliteDesk 800,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Equipos,Sobremesa,InfoTech SL,PAT-5007,No,2026-05-15,,Sí,Instituto 7,Profesorado,Dato de prueba 7
INV-008,EXP-2023-008,SN-000008,Inoperativo,Monitor,HP,Aula 102,P24 G4,Alumnos,Sede Central,Pabellón Principal,Planta Baja,Aula 102,Informática,Periféricos,Monitores,InfoTech SL,PAT-5008,No,2026-05-15,,Sí,Instituto 8,,Dato de prueba 8
INV-009,EXP-2023-009,SN-000009,Activo,Ordenador,Dell,Laboratorio,OptiPlex 5090,Investigación,Sede Central,Edificio Ciencias,Planta 2,Lab 1,Informática,Equipos,Sobremesa,Dell Direct,PAT-5009,No,2025-12-30,,Sí,Instituto 9,Técnicos,Dato de prueba 9
INV-010,EXP-2023-010,SN-000010,Activo,Impresora,HP,Dirección,LaserJet Pro,Administración,Sede Central,Pabellón Principal,Planta 1,Despacho 5,Informática,Impresión,Láser,InfoTech SL,PAT-5010,No,2026-01-15,,Sí,Instituto 10,Director,Dato de prueba 10
